,Date,SKU_Category,Quantity,Sales_Amount,item_price,day,month,price
10368,2016-08-31,N8U,19.0,75.89,4.159411764705882,31.0,8.0,3.9942105263157894
10376,2016-08-31,R6E,17.0,121.89,7.17,31.0,8.0,7.17
10389,2016-09-01,29A,8.0,39.230000000000004,5.8438888888888885,1.0,9.0,4.9037500000000005
10397,2016-09-01,FEW,12.0,116.78999999999999,9.732500000000002,1.0,9.0,9.7325
10411,2016-09-01,N8U,24.0,85.11,3.54625,1.0,9.0,3.54625
10417,2016-09-01,R6E,13.0,69.08,5.310303030303031,1.0,9.0,5.313846153846153
10432,2016-09-02,29A,9.0,54.949999999999996,6.926428571428572,2.0,9.0,6.105555555555555
10440,2016-09-02,FEW,2.0,19.77,9.885,2.0,9.0,9.885
10454,2016-09-02,N8U,35.0,116.13,3.29764705882353,2.0,9.0,3.318
10461,2016-09-02,R6E,20.0,91.98,4.599,2.0,9.0,4.599
10475,2016-09-03,29A,13.0,58.53,4.942121212121213,3.0,9.0,4.502307692307692
10484,2016-09-03,FEW,10.0,90.59,9.059000000000001,3.0,9.0,9.059000000000001
10497,2016-09-03,N8U,30.0,112.43,3.864382716049383,3.0,9.0,3.747666666666667
10504,2016-09-03,R6E,10.0,80.92999999999999,8.092999999999998,3.0,9.0,8.093
10519,2016-09-04,29A,7.0,38.56,6.715,4.0,9.0,5.508571428571429
10528,2016-09-04,FEW,13.0,131.68,10.337083333333334,4.0,9.0,10.12923076923077
10541,2016-09-04,N8U,27.0,101.94,3.8734615384615383,4.0,9.0,3.7755555555555556
10549,2016-09-04,R6E,19.0,136.92,7.206315789473685,4.0,9.0,7.206315789473684
10564,2016-09-05,29A,9.0,55.27,6.478571428571428,5.0,9.0,6.141111111111112
10573,2016-09-05,FEW,11.0,126.44,11.494545454545454,5.0,9.0,11.494545454545454
10588,2016-09-05,N8U,32.0,130.07,4.343749999999999,5.0,9.0,4.0646875
10596,2016-09-05,R6E,13.0,124.47,9.524074074074072,5.0,9.0,9.574615384615385
10610,2016-09-06,29A,6.0,51.26,8.014,6.0,9.0,8.543333333333333
10618,2016-09-06,FEW,12.0,114.41,9.534166666666668,6.0,9.0,9.534166666666666
10632,2016-09-06,N8U,46.0,177.45000000000002,4.213969298245614,6.0,9.0,3.8576086956521745
10640,2016-09-06,R6E,21.0,93.59,4.581944444444444,6.0,9.0,4.456666666666667
10654,2016-09-07,29A,7.0,33.83,5.933999999999999,7.0,9.0,4.832857142857143
10660,2016-09-07,FEW,9.0,94.47,11.041875,7.0,9.0,10.496666666666666
10673,2016-09-07,N8U,21.0,89.32,4.427105263157895,7.0,9.0,4.253333333333333
10680,2016-09-07,R6E,13.0,68.00999999999999,5.78090909090909,7.0,9.0,5.231538461538461
10692,2016-09-08,29A,14.0,76.38,6.017777777777777,8.0,9.0,5.4557142857142855
10701,2016-09-08,FEW,6.0,55.17,9.588,8.0,9.0,9.195
10716,2016-09-08,N8U,25.0,96.07000000000001,3.822391304347827,8.0,9.0,3.8428000000000004
